Flag of vessel,Date vessel departed with captives,Vessel name,Captain's name
Netherlands,,Guinese Vriendschap,"Grim, Jan"
Netherlands,,Guinese Vriendschap,"Grim, Jan"
Netherlands,,Guinese Vriendschap,"Grim, Jan"
Netherlands,,Guinese Vriendschap,"Grim, Jan"
Netherlands,1765-11-23T00:00:00Z,Guinees Welvaren,"Sluijter, Pieter Hermanus"
Netherlands,,Gulde Vrijheid,"Vallé, Jacob"
Netherlands,,Gulde Vrijheid,
Netherlands,,Gulde Vrijheid,"Nijsse, Jacob de"
Netherlands,,Gulde Vrijheid,"Nijsse, Jacob de"
Netherlands,,Gulde Vrijheid,"Nijsse, Jacob de"
Netherlands,,Gulde Vrijheid,Hollem
Netherlands,,Gulde Vrijheid,"Moor, Jan de"
Netherlands,,Gulde Vrijheid,"Moor, Jan de"
Netherlands,,Gulde Vrijheid,"Sterk, Cornelis"
Netherlands,,Gulde Vrijheid,"Lins, Gabriel"
Netherlands,,Gulde Vrijheid,"Hermansz, N"
Netherlands,1764-04-11T00:00:00Z,Gulde Vrijheid,"Minnelust, Carel Michiel"
Netherlands,1764-04-11T00:00:00Z,Gulde Vrijheid,"Rietveld, Dirk"
Netherlands,,Gulde Vrijheid,"Rietveld, Dirk"
Netherlands,1767-08-29T00:00:00Z,Gulde Vrijheid,"Rietveld, Dirk"
Netherlands,,Gulde Vrijheid,"Rietveld, Dirk"
Netherlands,,Gulde Vrijheid,"Rietveld, Dirk"
Netherlands,1772-02-12T00:00:00Z,Gulde Vrijheid,"Rietveld, Dirk"
Netherlands,,Gulde Vrijheid,"Rietveld, Dirk"
Netherlands,,Gulde Vrijheid,"Rietveld, Dirk"
Netherlands,,Gulde Vrijheid,"Ketner, Christiaan"
Netherlands,1765-07-12T00:00:00Z,Haast U Langzaam,"Menkenveld, Jan"
Netherlands,1767-11-18T00:00:00Z,Haast U Langzaam,"Chatelain, Adriaan"
Netherlands,1770-01-14T00:00:00Z,Haast U Langzaam,"Chatelain, Adriaan"
Netherlands,1771-06-27T00:00:00Z,Haast U Langzaam,"Chatelain, Adriaan"
Netherlands,1773-08-20T00:00:00Z,Haast U Langzaam,"Sprang, Jan van"
Netherlands,1775-12-06T00:00:00Z,Haast U Langzaam,"Kakom, Cornelis van"
Netherlands,1778-01-31T00:00:00Z,Haast U Langzaam,"Kakom, Cornelis van"
Netherlands,1780-06-29T00:00:00Z,Haast U Langzaam,"Kakom, Cornelis van"
Netherlands,,Helena,"Boer, Cornelis den"
Netherlands,,Helena,"Boer, Adriaan den"
Netherlands,,Hermina Elisabeth,"Dupont, D"
Netherlands,,Hermina Elisabeth,"Bekker, F"
Netherlands,,Hermina Elisabeth,"Grim, Jochem"
Netherlands,,Hermina Elisabeth,"Grim, Jochem"
Netherlands,,Herstelder,"Stap, Pieter"
Netherlands,1772-06-01T00:00:00Z,Herstelder,"Stap, Pieter"
Netherlands,1733-04-01T00:00:00Z,Hof van Zeeland,"Moor, Jan de"
Netherlands,1735-01-20T00:00:00Z,Hoop,"Eversen, Huijbrecht"
Netherlands,1763-03-14T00:00:00Z,Espérance (a) Hoop,"Jacobs, Paulus"
Netherlands,,Hoop,"Magnus, Carel"
Netherlands,,Hoop,"Dankers, Joost"
Netherlands,1784-12-07T00:00:00Z,Hoop,"Udemans, Pieter Gideon"
Netherlands,,Hoop,"Eggers, M"
Netherlands,,Hougly Galey (a) Hoogland,
Netherlands,1781-02-25T00:00:00Z,Huis van Brandenburg,"Klerk, François de"
Netherlands,,Huis ter Mee,"Boer, Cornelis den"
Netherlands,,Huis ter Mee,"Boer, Cornelis den"
