,Flag of vessel,Date vessel departed with captives,Vessel name,Captain's name
115,Netherlands,,Eerste Edele,"Lafayolle, Pieter"
116,Netherlands,1754-06-24T00:00:00Z,Eerste Edele,"Lafayolle, Pieter"
117,Netherlands,,Eerste Edele,"Sap, Adriaan"
118,Netherlands,,Eerste Edele,"Sap, Adriaan"
119,Netherlands,1773-07-25T00:00:00Z,Elisabeth,"Harmel, Jan"
120,Netherlands,,Elisabeth,"Harmel, Jan"
121,Netherlands,,Elisabeth,"Jansen, Jurgen"
122,Netherlands,,Elisabeth Sophia,"Bremer, Carel"
123,Netherlands,1767-07-20T00:00:00Z,Elisabeth Sophia,"Bremer, Carel"
124,Netherlands,1769-09-27T00:00:00Z,Elisabeth Sophia,"Bremer, Carel"
125,Netherlands,1791-04-30T00:00:00Z,Elisabeth,"Muller, Daniel"
126,Netherlands,1785-10-24T00:00:00Z,Epaminondas,"Rudolfus, Servas"
127,Netherlands,,Essequeebse Vriendschap,"Park, Mathijs"
128,Netherlands,,Françoise en Catharina,"Groot, Michiel de"
129,Netherlands,,Frans Willem,"Joosen, Frederik"
130,Netherlands,,Frans Willem,"Joosen, Frederik"
131,Netherlands,,Frans Willem,"Sluijs, Jan van der"
132,Netherlands,,Frans Willem,"Sluijs, Jan van der"
133,Netherlands,1764-04-29T00:00:00Z,Frans Willem,"Sluijs, Jan van der"
134,Netherlands,,Frans Willem,"Harmel, Jan"
135,Netherlands,,Prinses Frederica Sophia Wilhelmina,"Smit, Leijn de<br/> Bekker, Fred A"
136,Netherlands,,Prinses Frederica Sophia Wilhelmina,"Bekker, Fred A"
137,Netherlands,,Geertruid en Elisabeth,"Cornelisse, Simon"
138,Netherlands,1756-03-17T00:00:00Z,Geertruid en Elisabeth,"Cornelisse, Simon"
139,Netherlands,,Geertruid en Elisabeth,"Cornelisse, Simon"
140,Netherlands,,Geertruid en Elisabeth,"Cornelisse, Simon"
141,Netherlands,,Geertruid en Elisabeth,"Deijnoot, Jasper"
142,Netherlands,,Geertruid en Elisabeth,"Deijnoot, Jasper"
143,Netherlands,,Geertruida,"Daniels, Abraham<br/> Castelijn, Johan"
144,Netherlands,1759-04-10T00:00:00Z,Geertruida,"Castelijn, Johannes"
145,Netherlands,1761-02-14T00:00:00Z,Geertruida,"Castelijn, Johan"
146,Netherlands,,Geertruida,"Boer, Cornelis de"
147,Netherlands,,Geertruida en Christina,"Jacobse, Adriaan<br/> Drijber, Willem"
148,Netherlands,1770-10-20T00:00:00Z,Geertruida en Christina,"Bakker, Johannes"
149,Netherlands,1772-07-08T00:00:00Z,Geertruida en Christina,"Drijber, Willem"
150,Netherlands,1775-05-18T00:00:00Z,Geertruida en Christina,"Noordhoek, Johannes"
151,Netherlands,1777-08-23T00:00:00Z,Geertruida en Christina,"Bakker, Johannes"
152,Netherlands,1785-04-29T00:00:00Z,Geertruida en Christina,"Kakom, Cornelis van"
153,Netherlands,1732-02-12T00:00:00Z,Genoveva Maria,"Cornelissen, J"
154,Netherlands,,Genoveva Maria,
155,Netherlands,,Genoveva Maria,
156,Netherlands,,Genoveva Maria,"Kluijters, Jacob"
157,Netherlands,,Genoveva Maria,
158,Netherlands,,Genoveva Maria,"Kluijters, Jacob"
159,Netherlands,,Genoveva Maria,"Kluijters, Jacob"
160,Netherlands,,Genoveva Maria,"Kluijters, Jacob"
161,Netherlands,,Genoveva Maria,"Gerritsen, Job"
162,Netherlands,,Genoveva Maria,"Gerritsen, Job"
163,Netherlands,,Gezegend Suikerriet,"Schrijver, Jan Daniel<br/> Bergh, Dirk van den<br/> Rust, Jonas"
164,Netherlands,,Gezegend Suikerriet,"Rust, Jonas"
165,Netherlands,,Gezegend Suikerriet,"Rust, Jonas<br/> Lagerboom, Pieter"
166,Netherlands,,Gezegend Suikerriet,"Lagerboom, Pieter"
167,Netherlands,,Gezegend Suikerriet,"Lagerboom, Pieter"
