,Flag of vessel,Date vessel departed with captives,Vessel name,Captain's name,Reordered Captain's name respelled,Original Captain's name,Vessel name corrected,Original Vessel name
385,Netherlands,,Lammerenburg,"Janssen, Jan", Jan Janssen,,,
386,Netherlands,1789-05-16T00:00:00Z,Landlust,"Tol, Casper", Casper Tol,,,
387,Netherlands,1788-05-07T00:00:00Z,Lea,"Jacobs, Claas", Claas Jacobs,,,
388,Netherlands,,Louisa Margarita,"Lindenberg, J", J Lindenberg,,,
389,Netherlands,1793-07-03T00:00:00Z,Lust and Vlijt,"Duijker, Gerrit", Gerrit Duijker,,,
390,Netherlands,1793-07-03T00:00:00Z,Lust and Vlijt,"Luijtzen, Simon", Simon Luijtzen,,,
391,Netherlands,1771-08-30T00:00:00Z,Maas,"Port, Ary van der", Ary van der Port,,,
392,Netherlands,,Magdalena Maria,"Klerk, Pieter de", Pieter de Klerk,,,
393,Netherlands,,Magdalena Maria,"Klerk, Pieter de", Pieter de Klerk,,,
394,Netherlands,,Magdalena Maria,"Klerk, Pieter de", Pieter de Klerk,,,
395,Netherlands,,Magdalena Maria,"Reichert, Frans", Frans Reichert,,,
396,Netherlands,,Magdalena Maria,"Reichert, Frans", Frans Reichert,,,
397,Netherlands,,Magdalena Maria,"Reichert, Frans", Frans Reichert,,,
398,Netherlands,,Magdalena Maria,"Reichert, Frans", Frans Reichert,,,
399,Netherlands,,Magteld,"Boudewijn, J M", J M Boudewijn,,,
400,Netherlands,,Maria en Elisabeth,"Lagorde, Andries", Andries Lagorde,,,
401,Netherlands,,Maria en Elisabeth,"Lagorde, Andries", Andries Lagorde,,,
402,Netherlands,1748-06-06T00:00:00Z,Maria Galei,"Eeling, Cornelis", Cornelis Eeling,,,
403,Netherlands,,Maria Geertruid Galei,"Vermout, Hermanus", Hermanus Vermout,,,
404,Netherlands,1756-09-13T00:00:00Z,Maria Geertruid Galei,"Vermout, Hermanus", Hermanus Vermout,,,
405,Netherlands,,Maria Geertruid Galei,"Vermout, Hermanus", Hermanus Vermout,,,
406,Netherlands,,Maria Geertruid Galei,"Pietersen, Jan", Jan Pietersen,,,
407,Netherlands,,Maria Geertruid Galei,"Beekman, Godfried", Godfried Beekman,,,
408,Netherlands,,Maria Geertruid Galei,"Beekman, Godfried", Godfried Beekman,,,
409,Netherlands,,Maria Geertruid Galei,"Beekman, Godfried", Godfried Beekman,,,
410,Netherlands,,Maria Geertruid Galei,"Beekman, Godfried", Godfried Beekman,,,
411,Netherlands,1769-04-01T00:00:00Z,Maria Isabella,"Harmel, Jan", Jan Harmel,,,
412,Netherlands,,Maria Isabella,"Harmel, Jan", Jan Harmel,,,
413,Netherlands,1771-08-12T00:00:00Z,Maria Isabella,"Harmel, Jan", Jan Harmel,,,
414,Netherlands,1774-01-13T00:00:00Z,Maria Isabella,"Edebool, Carsten", Carsten Edebool,,,
415,Netherlands,,Maria Isabella,"Edebool, Carsten", Carsten Edebool,,,
416,Netherlands,,Maria Jacoba,"Wickman, Albert", Albert Wickman,,,
417,Netherlands,,Maria Jacoba,,,,,
418,Netherlands,,Maria Jacoba,"Wickman, Albert", Albert Wickman,,,
419,Netherlands,,Maria Jacoba,"Wickman, Albert", Albert Wickman,,,
420,Netherlands,,Maria Jacoba,"Wickman, Albert", Albert Wickman,,,
421,Netherlands,,Maria Jacoba,"Wickman, Albert", Albert Wickman,,,
422,Netherlands,1767-03-22T00:00:00Z,Maria,"Jansen, Jan", Jan Jansen,,,
423,Netherlands,,Maria,"Jansen, Jan", Jan Jansen,,,
424,Netherlands,,Maria,"Jansen, Jan", Jan Jansen,,,
425,Netherlands,,Maria,"Jansen, Jan", Jan Jansen,,,
426,Netherlands,,Maria,"Pieters, Carel", Carel Pieters,,,
427,Netherlands,,Maria,"Pieters, Carel", Carel Pieters,,,
428,Netherlands,,Maria,"Pieters, Carel", Carel Pieters,,,
429,Netherlands,1790-01-31T00:00:00Z,Meerenberg,"Hansen, Matthijs", Matthijs Hansen,,,
430,Netherlands,,Meermin,"Hogerzeijl, Martinus Bruijn", Martinus Bruijn Hogerzeijl,,,
431,Netherlands,1765-01-30T00:00:00Z,Meermin,"Hogerzeijl, Martinus Bruijn", Martinus Bruijn Hogerzeijl,,,
432,Netherlands,,Meermin,"Hogerzeijl, Martinus Bruijn", Martinus Bruijn Hogerzeijl,,,
433,Netherlands,,Meermin,"Hogerzeijl, Martinus Bruijn", Martinus Bruijn Hogerzeijl,,,
434,Netherlands,,Meermin,"Hogerzeijl, Martinus Bruijn", Martinus Bruijn Hogerzeijl,,,
435,Netherlands,1773-02-01T00:00:00Z,Meermin,"Hogerzeijl, Martinus Bruijn", Martinus Bruijn Hogerzeijl,,,
436,Netherlands,,Meermin,"Hogerzeijl, Martinus Bruijn", Martinus Bruijn Hogerzeijl,,,
437,Netherlands,1793-01-04T00:00:00Z,Meeuw,"Andriessen, Christiaan", Christiaan Andriessen,,,
438,Netherlands,,Meliskerk,"Taylor, Rokus Jacobus", Rokus Jacobus Taylor,,,
439,Netherlands,,Meliskerk,"Bredem, Carel", Carel Bredem,,,
440,Netherlands,,Meliskerk,"Moor, Pieter de", Pieter de Moor,,,
441,Netherlands,1754-07-10T00:00:00Z,Mercurius,"Stam, Maarten", Maarten Stam,,,
442,Netherlands,,Middagten,"Sterk, Cornelis", Cornelis Sterk,,,
443,Netherlands,,Moscovise Galei,"Daniels, Abraham", Abraham Daniels,,,
444,Netherlands,,Moscovise Galei,"Daniels, Abraham", Abraham Daniels,,,
445,Netherlands,,Moscovise Galei,"Daniels, Abraham", Abraham Daniels,,,
446,Netherlands,,Moscovise Galei,"Daniels, Abraham", Abraham Daniels,,,
447,Netherlands,,Middelburgs Welvaren,"Gerritsen, Jacob", Jacob Gerritsen,,,
448,Netherlands,,Middelburgs Welvaren,"Kerkhoven, Jan van", Jan van Kerkhoven,,,
449,Netherlands,1755-09-22T00:00:00Z,Middelburgs Welvaren,"Kerkhoven, Jan van", Jan van Kerkhoven,,,
450,Netherlands,1757-05-25T00:00:00Z,Middelburgs Welvaren,"Mulders, David", David Mulders,,,
451,Netherlands,1759-04-09T00:00:00Z,Middelburgs Welvaren,"Mulders, David", David Mulders,,,
452,Netherlands,1761-08-26T00:00:00Z,Middelburgs Welvaren,"Mulders, David", David Mulders,,,
453,Netherlands,1763-04-09T00:00:00Z,Middelburgs Welvaren,"Husson, Jacobus", Jacobus Husson,,,
454,Netherlands,,Nehalenia,"Kerkhoven, Jan van", Jan van Kerkhoven,,,
455,Netherlands,,Nehalenia,"Kerkhoven, Jan van", Jan van Kerkhoven,,,
456,Netherlands,,Nehalenia,"Mathijsen, C", C Mathijsen,,,
457,Netherlands,,Neptunus,"Swart, Jan", Jan Swart,,,
458,Netherlands,,Neptunus,"Velde, Daniel de", Daniel de Velde,,,
459,Netherlands,,Neptunus,"Swart, Jan", Jan Swart,,,
460,Netherlands,1743-03-01T00:00:00Z,Neptunus,"Swart, Jan", Jan Swart,,,
461,Netherlands,1744-08-15T00:00:00Z,Neptunus,"Swart, Jan", Jan Swart,,,
462,Netherlands,,Neptunus,"Moor, Pieter de", Pieter de Moor,,,
463,Netherlands,,Neptunus,"Solomi, David", David Solomi,,,
464,Netherlands,,Neptunus,"Outjes, Jochem", Jochem Outjes,,,
465,Netherlands,1747-07-13T00:00:00Z,Neptunus,"Harmensz, Jan Hendrik", Jan Hendrik Harmensz,,,
466,Netherlands,1747-07-13T00:00:00Z,Neptunus,"Dahlboom, Olaus", Olaus Dahlboom,,,
467,Netherlands,,Neptunus,"Bollaard, Hermanus", Hermanus Bollaard,,,
468,Netherlands,,Neptunus,"Bollaard, Hermanus", Hermanus Bollaard,,,
469,Netherlands,,Neptunus,"Bollaard, Hermanus", Hermanus Bollaard,,,
470,Netherlands,,Neptunus,"Bollaard, Hermanus", Hermanus Bollaard,,,
471,Netherlands,1785-10-18T00:00:00Z,Neptunus,"Vervenne, Cornelis", Cornelis Vervenne,,,
472,Netherlands,,Neptunus,"Solomi, David", David Solomi,,,
473,Netherlands,,Nicolaas,"Hollen, Jacobus", Jacobus Hollen,,,
474,Netherlands,,Nicolaas,"Bruijn, Arend", Arend Bruijn,,,
475,Netherlands,,Nicolaas,"Bruijn, Arend", Arend Bruijn,,,
476,Netherlands,,Nicolaas,"Bruijn, Arend", Arend Bruijn,,,
477,Netherlands,,Nicolaas,"Groef, Magnus", Magnus Groef,,,
478,Netherlands,,Nicolaas,"Groef, Magnus", Magnus Groef,,,
479,Netherlands,,Nicolaas,"Groef, Magnus", Magnus Groef,,,
480,Netherlands,,Nicolaas,"Claasen, Mathijs", Mathijs Claasen,,,
481,Netherlands,,Nicolaas,"Pekroen, Adam", Adam Pekroen,,,
482,Netherlands,,Nicolaas,"Pekroen, Adam", Adam Pekroen,,,
483,Netherlands,1780-04-19T00:00:00Z,Jonge Nicolaas Jan,"Reichert, Frans", Frans Reichert,,,
484,Netherlands,1784-09-20T00:00:00Z,Jonge Nicolaas Jan,"Magnus, Carel", Carel Magnus,,,
485,Netherlands,,Nicolaas Theodorus,"Verdonk, Philippus", Philippus Verdonk,,,
486,Netherlands,1772-01-31T00:00:00Z,Nicolaas Theodorus,"Verdonk, Philippus", Philippus Verdonk,,,
487,Netherlands,1772-01-31T00:00:00Z,Nicolaas Theodorus,"Krummhousen, Salomon", Salomon Krummhousen,,,
488,Netherlands,1772-01-31T00:00:00Z,Nicolaas Theodorus,"Dupont, David", David Dupont,,,
489,Netherlands,1763-03-20T00:00:00Z,Nieuwe Hoop,"Mulders, David", David Mulders,,,
490,Netherlands,1765-03-18T00:00:00Z,Nieuwe Hoop,"Mulders, David", David Mulders,,,
491,Netherlands,1767-09-17T00:00:00Z,Nieuwe Hoop,"Bouque, Jacob", Jacob Bouque,,,
492,Netherlands,1769-05-22T00:00:00Z,Nieuwe Hoop,"Bouque, Jacob", Jacob Bouque,,,
493,Netherlands,1771-01-14T00:00:00Z,Nieuwe Hoop,"Wilton, Jan", Jan Wilton,,,
494,Netherlands,1773-09-06T00:00:00Z,Nieuwe Hoop,"Wilton, Jan", Jan Wilton,,,
495,Netherlands,1776-05-23T00:00:00Z,Nieuwe Hoop,"Wilton, Jan", Jan Wilton,,,
496,Netherlands,1779-11-05T00:00:00Z,Nieuwe Hoop,"Goodwill, Robert", Robert Goodwill,,,
497,Netherlands,1785-02-16T00:00:00Z,Nieuwe Hoop,"Loef, Cornelis", Cornelis Loef,,,
498,Netherlands,1785-02-16T00:00:00Z,Nieuwe Hoop,"Sap, Claas", Claas Sap,,,
499,Netherlands,1790-04-21T00:00:00Z,Nieuwe Hoop,"Dijker, Willem", Willem Dijker,,,
500,Netherlands,1772-10-23T00:00:00Z,Nooitgedacht,"Bevers, Anthony", Anthony Bevers,,,
501,Netherlands,1788-05-21T00:00:00Z,Johan van Oldenbarneveld,"Dijker, Willem", Willem Dijker,,,
502,Netherlands,1795-05-15T00:00:00Z,Oosterstax,"Kaas, Willem", Willem Kaas,,,
503,Netherlands,,Oranje Galei,"Sterk, Evert", Evert Sterk,,,
504,Netherlands,,Oud Domburg,"Galle, Jan", Jan Galle,,,
505,Netherlands,,Oud Domburg,"Bremer, Carel", Carel Bremer,,,
506,Netherlands,1749-07-15T00:00:00Z,Ouderkerk,"Groot, Michiel de", Michiel de Groot,,,
507,Netherlands,1758-07-26T00:00:00Z,Ouderkerk,"Parre, Pieter van der", Pieter van der Parre,,,
508,Netherlands,1758-07-26T00:00:00Z,Ouderkerk,"Dahlboom, Claas", Claas Dahlboom,,,
509,Netherlands,,Oudhuizen,"Meegem, Pieter", Pieter Meegem,,,
510,Netherlands,,Oudhuizen,"Meegem, Pieter", Pieter Meegem,,,
511,Netherlands,,Paulus,"Belendorp, Jacob", Jacob Belendorp,,,
512,Netherlands,1790-04-24T00:00:00Z,Pelicaan,"Kans, Willem", Willem Kans,,,
513,Netherlands,,Petronella Cecilia,"Wolf, Conraad de", Conraad de Wolf,,,
514,Netherlands,,Petronella Cecilia,,,,,
515,Netherlands,,Petronella Cecilia,"Wolf, C de", C de Wolf,,,
516,Netherlands,,Petronella Cecilia,,,,,
517,Netherlands,,Petronella Cecilia,,,,,
518,Netherlands,,Petronella Cecilia,"Wolf, J", J Wolf,,,
519,Netherlands,1753-10-27T00:00:00Z,Philadelphia,"Menkenveld, Jan", Jan Menkenveld,,,
520,Netherlands,1755-05-24T00:00:00Z,Philadelphia,"Menkenveld, Jan", Jan Menkenveld,,,
521,Netherlands,1757-04-07T00:00:00Z,Philadelphia,"Menkenveld, Jan", Jan Menkenveld,,,
522,Netherlands,1759-01-19T00:00:00Z,Philadelphia,"Menkenveld, Jan", Jan Menkenveld,,,
523,Netherlands,1760-10-06T00:00:00Z,Philadelphia,"Menkenveld, Jan", Jan Menkenveld,,,
524,Netherlands,1762-11-13T00:00:00Z,Philadelphia,"Wolf, Frans", Frans Wolf,,,
525,Netherlands,1762-11-13T00:00:00Z,Philadelphia,"Verdonk, Philippus", Philippus Verdonk,,,
526,Netherlands,1764-08-20T00:00:00Z,Philadelphia,"Verdonk, Philippus", Philippus Verdonk,,,
527,Netherlands,1794-06-23T00:00:00Z,Phenix,"Schoeman, Frederik", Frederik Schoeman,,,
528,Netherlands,,Prinses Royaal,"Vos, Jan de", Jan de Vos,,,
529,Netherlands,,Prinses Royaal,"Vos, Jan de", Jan de Vos,,,
530,Netherlands,,Prinses Royaal,"Vos, Jan de", Jan de Vos,,,
531,Netherlands,,Prinses Royaal,"Rietveld, Dirk", Dirk Rietveld,,,
532,Netherlands,,Prinses Royaal,"Valk, Barend de", Barend de Valk,,,
533,Netherlands,,Prinses Royaal,"Valk, Barend de", Barend de Valk,,,
534,Netherlands,,Prins Willem,"Macquee, Mattheus", Mattheus Macquee,,,
535,Netherlands,,Prins Willem,"Bovel, Michiel", Michiel Bovel,,,
536,Netherlands,,Prins Willem (a) Prins van Oranje,,,,Prins Willem , Prins van Oranje
537,Netherlands,,Prins Willem,"Bovel, Michiel Pieter", Michiel Pieter Bovel,,,
538,Netherlands,1752-08-25T00:00:00Z,Prins Willem de Vijfde,"Jacobse, Adriaan", Adriaan Jacobse,,,
539,Netherlands,1754-03-15T00:00:00Z,Prins Willem de Vijfde,"Jacobse, Adriaan", Adriaan Jacobse,,,
540,Netherlands,1755-12-25T00:00:00Z,Prins Willem de Vijfde,"Jacobse, Adriaan", Adriaan Jacobse,,,
541,Netherlands,1757-11-29T00:00:00Z,Prins Willem de Vijfde,"Jacobse, Adriaan", Adriaan Jacobse,,,
542,Netherlands,1759-11-28T00:00:00Z,Prins Willem de Vijfde,"Jacobse, Adriaan", Adriaan Jacobse,,,
543,Netherlands,1761-10-31T00:00:00Z,Prins Willem de Vijfde,"Jacobse, Adriaan", Adriaan Jacobse,,,
544,Netherlands,1763-08-17T00:00:00Z,Prins Willem de Vijfde,"Jacobse, Adriaan", Adriaan Jacobse,,,
545,Netherlands,1765-12-20T00:00:00Z,Prins Willem de Vijfde,"Jacobse, Adriaan", Adriaan Jacobse,,,
546,Netherlands,1768-03-18T00:00:00Z,Prins Willem de Vijfde,"Pietersen, Cornelis", Cornelis Pietersen,,,
547,Netherlands,1770-03-02T00:00:00Z,Prins Willem de Vijfde,"Pietersen, Cornelis", Cornelis Pietersen,,,
548,Netherlands,1770-03-02T00:00:00Z,Prins Willem de Vijfde,"Loef, Cornelis", Cornelis Loef,,,
549,Netherlands,1772-06-13T00:00:00Z,Prins Willem de Vijfde,"Loef, Cornelis", Cornelis Loef,,,
550,Netherlands,1762-05-02T00:00:00Z,Publicola,"Bel, Jacob van", Jacob van Bel,,,
551,Netherlands,1764-10-26T00:00:00Z,Publicola,"Bel, Jacob van", Jacob van Bel,,,
552,Netherlands,,Publicola,"Bel, Jacob van", Jacob van Bel,,,
553,Netherlands,,Publicola,"Bel, Jacob van", Jacob van Bel,,,
554,Netherlands,,Raadhuis van Middelburg,"Jol, David", David Jol,,,
555,Netherlands,1743-02-18T00:00:00Z,Raadhuis van Middelburg,"Jol, David", David Jol,,,
556,Netherlands,,Ramsburg,"Bruijn, Michiel", Michiel Bruijn,,,
557,Netherlands,,Ramsburg,,,,,
558,Netherlands,,Ramsburg,"Bruijn, Michiel", Michiel Bruijn,,,
559,Netherlands,,Ramsburg,"Bruijn, Michiel", Michiel Bruijn,,,
560,Netherlands,,Ramsburg,"Goosen, F", F Goosen,,,
561,Netherlands,,Rebecca,"Baarts, Jan", Jan Baarts,,,
562,Netherlands,,Resolutie,"Ridder, Jan de", Jan de Ridder,,,
563,Netherlands,,Rotterdam,"Fraser, David", David Fraser,,,
564,Netherlands,,Rusthof,"Cornelissen, J", J Cornelissen,,,
565,Netherlands,1773-09-26T00:00:00Z,Sara Henrietta,"Santleven, Hendrik", Hendrik Santleven,,,
566,Netherlands,1773-09-26T00:00:00Z,Sara Henrietta,"Kakom, Adriaan van", Adriaan van Kakom,,,
567,Netherlands,,Sara Henrietta,"Rudolfus, S", S Rudolfus,,,
568,Netherlands,,Sara Henrietta,"Eijndlijk, E", E Eijndlijk,,,
569,Netherlands,,Sara Maria,"Grim, Jan", Jan Grim,,,
570,Netherlands,1780-03-26T00:00:00Z,Sara Maria (a) Eva Maria,"Grim, Jochem", Jochem Grim,,Sara Maria , Eva Maria
571,Netherlands,,Sara Suzanna Maria,"Dankers, Joost", Joost Dankers,,,
572,Netherlands,,Sara Suzanna Maria,"Dankers, Joost", Joost Dankers,,,
573,Netherlands,,Sara Suzanna Maria,"Dankers, Joost", Joost Dankers,,,
574,Netherlands,,Snoek,"Cornelissen, Simon", Simon Cornelissen,,,
575,Netherlands,,Spreeuwenburg,"Leger, Jan", Jan Leger,,,
576,Netherlands,,Spreeuwenburg,"Leger, Jan", Jan Leger,,,
577,Netherlands,,Spreeuwenburg,,,,,
578,Netherlands,1760-12-21T00:00:00Z,Spreeuwenburg,"Leger, Jan", Jan Leger,,,
579,Netherlands,,Spreeuwenburg,"Leger, Jan", Jan Leger,,,
580,Netherlands,1764-11-07T00:00:00Z,Spreeuwenburg,"Leger, Jan", Jan Leger,,,
581,Netherlands,,Spreeuwenburg,"Leger, Jan", Jan Leger,,,
582,Netherlands,,Spreeuwenburg,"Leger, Jan", Jan Leger,,,
583,Netherlands,1792-03-05T00:00:00Z,Standvastigheid,"Breedau, Carel", Carel Breedau,,,
584,Netherlands,1803-06-17T00:00:00Z,Standvastigheid,"Silou, Jan Christiaan", Jan Christiaan Silou,,,
585,Netherlands,1803-06-17T00:00:00Z,Standvastigheid,"Uding, Hermanus", Hermanus Uding,,,
586,Netherlands,1766-10-24T00:00:00Z,Standvastigheid,"Obbe, Sijbrand", Sijbrand Obbe,,,
587,Netherlands,,Surinaamse Galei,"Ridder, Jan de", Jan de Ridder,,,
588,Netherlands,,Surinaamse Galei,"Ridder, Jan de", Jan de Ridder,,,
589,Netherlands,,Surinaamse Vriendschap,,,,,
590,Netherlands,,Surinaamse Vriendschap,"Lagorde, Andries", Andries Lagorde,,,
591,Netherlands,,Surinaamse Vriendschap,"Lagorde, Andries", Andries Lagorde,,,
592,Netherlands,,Surinaamse Welvaart,"Ridder, Jan de", Jan de Ridder,,,
593,Netherlands,,Surinaamse Welvaart,"Ridder, Jan de", Jan de Ridder,,,
594,Netherlands,,Surinaamse Welvaart,"Ridder, Jan de", Jan de Ridder,,,
595,Netherlands,,Surinaamse Welvaart,"Gerritsen, Job", Job Gerritsen,,,
596,Netherlands,,Surinaamse Welvaart,"Bruijn, Arend", Arend Bruijn,,,
597,Netherlands,,Surinaamse Welvaart,"Bruijn, Arend", Arend Bruijn,,,
598,Netherlands,,Surinaamse Welvaart,"Bruijn, Arend", Arend Bruijn,,,
599,Netherlands,,Surinaamse Welvaart,"Meijster, Hendrik", Hendrik Meijster,,,
600,Netherlands,,Surinaamse Welvaart,"Meijster, Hendrik", Hendrik Meijster,,,
601,Netherlands,,Surinaamse Welvaart,"Meijster, Hendrik", Hendrik Meijster,,,
602,Netherlands,,Surinaamse Welvaart,"Meijster, Hendrik", Hendrik Meijster,,,
603,Netherlands,,Surinaamse Welvaart,"Meijster, Hendrik", Hendrik Meijster,,,
604,Netherlands,,Surinaamse Welvaart,"Sluijter, Pieter Hermanus", Pieter Hermanus Sluijter,,,
605,Netherlands,,Surinaamse Welvaart,"Sluijter, Pieter Hermanus", Pieter Hermanus Sluijter,,,
606,Netherlands,,Surinaamse Welvaart,"Sluijter, Pieter Hermanus", Pieter Hermanus Sluijter,,,
607,Netherlands,,Surinaamse Welvaart,"Boon, Jan Jansen", Jan Jansen Boon,,,
608,Netherlands,,Surinaamse Welvaart,"Boon, Jan Jansen", Jan Jansen Boon,,,
609,Netherlands,,Surinaamse Welvaart,"Boon, Jan Jansen", Jan Jansen Boon,,,
610,Netherlands,,Surinaamse Welvaart,"Seijer, Hans", Hans Seijer,,,
611,Netherlands,,Suriname,"Veltz, Christiaan", Christiaan Veltz,,,
612,Netherlands,1787-11-09T00:00:00Z,Suriname,Lagay,Lagay,,,
613,Netherlands,1770-11-17T00:00:00Z,Susanna Helena,"Bourlich, Dirk", Dirk Bourlich,,,
614,Netherlands,1770-11-17T00:00:00Z,Susanna Helena,"Poolman, Jan", Jan Poolman,,,
615,Netherlands,1770-11-17T00:00:00Z,Susanna Helena,"Egbertse, Egbert", Egbert Egbertse,,,
616,Netherlands,,Susanna Jacoba,"Maarschalk, Cornelis (a) Marechal", Cornelis Maarschalk,Marechal,,
617,Netherlands,,Susanna Jacoba,"Maarschalk, Cornelis (a) Marechal", Cornelis Maarschalk,Marechal,,
618,Netherlands,,Susanna Jacoba,"Maarschalk, Cornelis (a) Marechal", Cornelis Maarschalk,Marechal,,
619,Netherlands,,Taamen,,,,,
620,Netherlands,,Taamen,"Stelle, Jacob van der", Jacob van der Stelle,,,
621,Netherlands,,Taamen,"Stelle, Jacob van der", Jacob van der Stelle,,,
622,Netherlands,,Taamen,,,,,
623,Netherlands,1793-04-12T00:00:00Z,Trompenburg,"Jantzen, Pieter", Pieter Jantzen,,,
624,Netherlands,,Twee Gezusters,"Reichert, Frans", Frans Reichert,,,
625,Netherlands,,Twee Gezusters,"Reichert, Frans", Frans Reichert,,,
626,Netherlands,,Twee Jonge Joachims,"Ketner, Christiaan", Christiaan Ketner,,,
627,Netherlands,,Twee Jonge Joachims,"Ketner, Christiaan", Christiaan Ketner,,,
628,Netherlands,,Twee Jonge Joachims,"Ketner, Christiaan", Christiaan Ketner,,,
629,Netherlands,,Twee Jonge Joachims,"Sap, Jan", Jan Sap,,,
630,Netherlands,1785-03-24T00:00:00Z,Vaderland Getrouw,"Nap, Nicolaas", Nicolaas Nap,,,
631,Netherlands,1785-03-24T00:00:00Z,Vaderland Getrouw,"Verschuur, Jan", Jan Verschuur,,,
632,Netherlands,1787-03-25T00:00:00Z,Vergenoegen,"Goodwill, Robert", Robert Goodwill,,,
633,Netherlands,1789-11-06T00:00:00Z,Vergenoegen,"Goodwill, Robert", Robert Goodwill,,,
634,Netherlands,1789-11-06T00:00:00Z,Vergenoegen,"Roblijn, Abraham", Abraham Roblijn,,,
635,Netherlands,1795-01-12T00:00:00Z,Vergenoegen,"Breedau, Carel", Carel Breedau,,,
636,Netherlands,1795-01-12T00:00:00Z,Vergenoegen,"Klaver, Johannes Gerrit", Johannes Gerrit Klaver,,,
637,Netherlands,,Verrekijker,"Noordhof, Nicolaas", Nicolaas Noordhof,,,
638,Netherlands,,Verrekijker,"Noordhof, Nicolaas", Nicolaas Noordhof,,,
639,Netherlands,,Verrekijker,"Kamer, Aart van de", Aart van de Kamer,,,
640,Netherlands,1791-05-18T00:00:00Z,Vertrouwen,"Verschuur, Johannes", Johannes Verschuur,,,
641,Netherlands,,Vertrouwen,,,,,
642,Netherlands,,Verwachting,"Vriese, Jacobus de", Jacobus de Vriese,,,
643,Netherlands,,Verwachting,"Vriese, Jacobus de", Jacobus de Vriese,,,
644,Netherlands,1772-09-27T00:00:00Z,Verwachting,"Vriese, Jacobus de", Jacobus de Vriese,,,
645,Netherlands,,Verwachting,"Noels, Andries", Andries Noels,,,
646,Netherlands,,Verwachting,,,,,
647,Netherlands,,Verwachting,"Noels, Andries", Andries Noels,,,
648,Netherlands,,Verwachting,"Moelaart, Gijsbrecht", Gijsbrecht Moelaart,,,
649,Netherlands,1791-01-08T00:00:00Z,Verwachting,"Moelaart, Gijsbrecht", Gijsbrecht Moelaart,,,
650,Netherlands,1793-07-07T00:00:00Z,Verwachting,"Moelaart, Gijsbrecht", Gijsbrecht Moelaart,,,
651,Netherlands,1789-04-18T00:00:00Z,Vigilantie,"Sterry, Nathan", Nathan Sterry,,,
652,Netherlands,1779-02-06T00:00:00Z,Vigilantie,"Michielsen, Olfert", Olfert Michielsen,,,
653,Netherlands,,Vigilantie,"Boswijk, Claas", Claas Boswijk,,,
654,Netherlands,,Vigilantie,"Dankers, Joost", Joost Dankers,,,
655,Netherlands,,Vigilantie,"Sellow, C van", C van Sellow,,,
656,Netherlands,1793-01-25T00:00:00Z,Vigilantie,"Silon, I C", I C Silon,,,
657,Netherlands,,Vigilantie,"Moelaart, Gijsbrecht", Gijsbrecht Moelaart,,,
658,Netherlands,,Vijf Gezusters,"Winterheim, Christiaan Frederik", Christiaan Frederik Winterheim,,,
659,Netherlands,,Vijf Gezusters,"Winterheim, Christiaan Frederik", Christiaan Frederik Winterheim,,,
660,Netherlands,1771-07-18T00:00:00Z,Vijf Gezusters,"Winterheim, Christiaan Frederik", Christiaan Frederik Winterheim,,,
661,Netherlands,1775-09-03T00:00:00Z,Vis,"Sprang, Jan van", Jan van Sprang,,,
662,Netherlands,,Vis,"Boer, Adriaan den", Adriaan den Boer,,,
663,Netherlands,,Vliegende Faam,"Moor, Pieter de", Pieter de Moor,,,
664,Netherlands,1771-03-26T00:00:00Z,Vliegende Faam,"Kakom, Cornelis van", Cornelis van Kakom,,,
665,Netherlands,1773-09-25T00:00:00Z,Vliegende Faam,"Kakom, Cornelis van", Cornelis van Kakom,,,
666,Netherlands,,Vlissingen,"Stap, Pieter", Pieter Stap,,,
667,Netherlands,,Vlissingen,"Stap, Pieter", Pieter Stap,,,
668,Netherlands,,Vlissingen,"Stap, Pieter", Pieter Stap,,,
669,Netherlands,,Vlissingen,"Stap, Pieter", Pieter Stap,,,
670,Netherlands,,Vlissingen,"Stap, Pieter", Pieter Stap,,,
671,Netherlands,,Vlissingen,"Stap, Pieter", Pieter Stap,,,
672,Netherlands,,Vlissingen,"Crevon, Jacobus", Jacobus Crevon,,,
673,Netherlands,,Vlissingen,"Crevon, Jacobus", Jacobus Crevon,,,
674,Netherlands,,Vlissingen,"Edebool, Carsten", Carsten Edebool,,,
675,Netherlands,,Vlissingse Hoofdnegotie,"Dankers, Joost", Joost Dankers,,,
676,Netherlands,1793-02-28T00:00:00Z,Vogelenstein,"Spaan, Christoffel", Christoffel Spaan,,,
677,Netherlands,,Vrede,,,,,
678,Netherlands,,Vriendschap,"Groef, Magnus", Magnus Groef,,,
679,Netherlands,1773-10-10T00:00:00Z,Vriendschap,"Groef, Magnus", Magnus Groef,,,
680,Netherlands,1773-10-10T00:00:00Z,Vriendschap,"Muller, Daniel", Daniel Muller,,,
681,Netherlands,,Vriendschap,"Muller, Daniel", Daniel Muller,,,
682,Netherlands,,Vriendschap,"Parre, Pieter van der", Pieter van der Parre,,,
683,Netherlands,,Vrijburg,"Brugman, Cornelis", Cornelis Brugman,,,
684,Netherlands,,Vrijheid,"Pieters, Carel", Carel Pieters,,,
685,Netherlands,,Vrijheid,"Pieters, Carel", Carel Pieters,,,
686,Netherlands,,Vriendschap,"Lamote, Cornelis", Cornelis Lamote,,,
687,Netherlands,1756-12-18T00:00:00Z,Vrouw Johanna Cores,"Tuijneman, Jan", Jan Tuijneman,,,
