,Flag of vessel,Date vessel departed with captives,Vessel name,Captain's name,Reordered Captain's name respelled,Original Captain's name,Vessel name corrected,Original Vessel name
1111,Netherlands,,Beschermer,"Valies, Thomas Jansz", Thomas Jansz Valies,,,
1112,Netherlands,1735-11-05T00:00:00Z,Beschutter,"Veltz, Christiaan", Christiaan Veltz,,,
1113,Netherlands,1738-12-25T00:00:00Z,Beschutter,"Baarspul, Theunis", Theunis Baarspul,,,
1114,Netherlands,1738-12-25T00:00:00Z,Beschutter,"Groot, Michiel de", Michiel de Groot,,,
1115,Netherlands,1702-08-01T00:00:00Z,Beurs van Amsterdam,"Roem, Sijmon Jaspersz", Sijmon Jaspersz Roem,,,
1116,Netherlands,,Beurs van Amsterdam,"Jansz, Leendert", Leendert Jansz,,,
1117,Netherlands,1706-08-15T00:00:00Z,Beurs van Amsterdam,"Geffen, Arent van", Arent van Geffen,,,
1118,Netherlands,1691-04-19T00:00:00Z,Beurs van Amsterdam,"Oole, Remeus", Remeus Oole,,,
1119,Netherlands,1709-04-08T00:00:00Z,Bleijswijk,"Saanen, Jan van", Jan van Saanen,,,
1120,Netherlands,,Bosbeek,"Hagerop, Rijk", Rijk Hagerop,,,
1121,Netherlands,1715-09-11T00:00:00Z,Bosbeek,"Hagerop, Rijk", Rijk Hagerop,,,
1122,Netherlands,,Bosbeek,,,,,
1123,Netherlands,1718-08-13T00:00:00Z,Bosbeek,"Reijnders, Salomon", Salomon Reijnders,,,
1124,Netherlands,1718-08-13T00:00:00Z,Bosbeek,"Rosiers, Willem", Willem Rosiers,,,
1125,Netherlands,,Brandenburg,"Steenhart, Arnout", Arnout Steenhart,,,
1126,Netherlands,1730-01-28T00:00:00Z,Brandenburg,"Blok, Frans", Frans Blok,,,
1127,Netherlands,1730-01-28T00:00:00Z,Brandenburg,"Smidt, Hendrick", Hendrick Smidt,,,
1128,Netherlands,1730-01-28T00:00:00Z,Brandenburg,"Hierschot, Reijnier van", Reijnier van Hierschot,,,
1129,Netherlands,1732-12-14T00:00:00Z,Brandenburg,"Boone, Cornelis", Cornelis Boone,,,
1130,Netherlands,1699-07-21T00:00:00Z,Brandenburg,"Fret, Frans", Frans Fret,,,
1131,Netherlands,1699-07-21T00:00:00Z,Brandenburg,"Elink, Pieter", Pieter Elink,,,
1132,Netherlands,,Brigdamme,"Pets, Daniel", Daniel Pets,,,
1133,Netherlands,,Carolus Secundus,"Crans, Pieter", Pieter Crans,,,
1134,Netherlands,1710-10-05T00:00:00Z,Carolus Secundus,"Broun, Jacob", Jacob Broun,,,
1135,Netherlands,1676-07-27T00:00:00Z,Kasteel van Curaçao,"Jansz, Huijbert", Huijbert Jansz,,,
1136,Netherlands,,Kasteel Delmina,"Parera, Steven van", Steven van Parera,,,
1137,Netherlands,1708-09-19T00:00:00Z,Kasteel Delmina,"Zeerat, Thomas Jansz", Thomas Jansz Zeerat,,,
1138,Netherlands,1708-09-19T00:00:00Z,Kasteel Delmina,"Gerritsz, Jan", Jan Gerritsz,,,
1139,Netherlands,,Kasteel Souburg,"Wijnantsen, Adriaan", Adriaan Wijnantsen,,,
1140,Netherlands,,Catharina,"Stolck, Arent Gijsen van der", Arent Gijsen van der Stolck,,,
1141,Netherlands,1706-12-31T00:00:00Z,Catharina Christina,"Kist, Jan Claasz", Jan Claasz Kist,,,
1142,Netherlands,,Catharina Christina,"Boes, Cornelis", Cornelis Boes,,,
1143,Netherlands,,Christina,"Kist, Jan Claasz", Jan Claasz Kist,,,
1144,Netherlands,1705-10-25T00:00:00Z,Christina,"Valies, Thomas Jansz", Thomas Jansz Valies,,,
1145,Netherlands,,Christina,"Claver, Jan Claasz", Jan Claasz Claver,,,
1146,Netherlands,1685-07-04T00:00:00Z,Keurvorst van Brandenburg,"Smidt, Hendrick B", Hendrick B Smidt,,,
1147,Netherlands,1685-07-04T00:00:00Z,Keurvorst van Brandenburg,"Claassen, Herman", Herman Claassen,,,
1148,Netherlands,1685-07-04T00:00:00Z,Keurvorst van Brandenburg,"Swaan, Adriaan", Adriaan Swaan,,,
1149,Netherlands,,Keurvorst van Brandenburgh,"Klinkert, Adriaan", Adriaan Klinkert,,,
1150,Netherlands,,Clara,"Visser, Jacob Corsz", Jacob Corsz Visser,,,
1151,Netherlands,,Compagnies Welvaren,"Kennis, Adriaan", Adriaan Kennis,,,
1152,Netherlands,,Koning David,,,,,
1153,Netherlands,1707-07-24T00:00:00Z,Koning van Portugal,"Coster, Sijmon", Sijmon Coster,,,
1154,Netherlands,,Hester,"Jansen, Jochem", Jochem Jansen,,,
1155,Netherlands,,Hester,"Harder, Job J van", Job J van Harder,,,
1156,Netherlands,,Hester,"Spanjaart, Sijbrant", Sijbrant Spanjaart,,,
1157,Netherlands,1714-05-26T00:00:00Z,Koningin Hester,"Stolck, Arent Gijsen van der", Arent Gijsen van der Stolck,,,
1158,Netherlands,1714-05-26T00:00:00Z,Koningin Hester,"Bie, Jacob de", Jacob de Bie,,,
1159,Netherlands,1688-12-05T00:00:00Z,Fort Amsterdam tot Cormantijn,"Schepmoes, Abraham", Abraham Schepmoes,,,
1160,Netherlands,1688-12-05T00:00:00Z,Fort Amsterdam tot Cormantijn,"Korf, Laurens Damesz", Laurens Damesz Korf,,,
1161,Netherlands,1686-12-08T00:00:00Z,Fort Amsterdam tot Cormantijn,"Eijck, Michiel Joosten van", Michiel Joosten van Eijck,,,
1162,Netherlands,1676-01-14T00:00:00Z,Cornelia,,,,,
1163,Netherlands,,Kroonvogel,"Schepmoes, Abraham", Abraham Schepmoes,,,
1164,Netherlands,,Kroonvogel,"Pets, Pieter", Pieter Pets,,,
1165,Netherlands,,Kroonvogel,"Dullaart, Huygh", Huygh Dullaart,,,
1166,Netherlands,,Kroonvogel,"Visser, Jacob Corsz", Jacob Corsz Visser,,,
1167,Netherlands,,Kroonvogel,"Stuart, Hans", Hans Stuart,,,
1168,Netherlands,1700-10-21T00:00:00Z,Kroonvogel,"Bot, Pieter", Pieter Bot,,,
1169,Netherlands,,Debora Amarentia,"Stolck, Arent Gijsen van der", Arent Gijsen van der Stolck,,,
1170,Netherlands,,Delft,"Bolder, Christiaan", Christiaan Bolder,,,
1171,Netherlands,1733-11-08T00:00:00Z,Delft,"Brouwer, Jan", Jan Brouwer,,,
1172,Netherlands,1736-07-13T00:00:00Z,Delft,"Brouwer, Jan", Jan Brouwer,,,
1173,Netherlands,,Dolfijn,"Bogaert, Mathijs", Mathijs Bogaert,,,
1174,Netherlands,1678-03-12T00:00:00Z,Dolfijn,"Balck, Jan Jacobsz", Jan Jacobsz Balck,,,
1175,Netherlands,,Duinbeek,"Walle, Andries", Andries Walle,,,
1176,Netherlands,,Duinenburg,"Weteringhe, Cornelis van der", Cornelis van der Weteringhe,,,
1177,Netherlands,,Duinenburg,"Weteringhe, Cornelis van der", Cornelis van der Weteringhe,,,
1178,Netherlands,1705-08-26T00:00:00Z,Duinenburg,"Weteringhe, Cornelis van der", Cornelis van der Weteringhe,,,
1179,Netherlands,,Duinenburg,"Weteringhe, Cornelis van der", Cornelis van der Weteringhe,,,
1180,Netherlands,1721-07-20T00:00:00Z,Duinvliet,"Rijkx, Cent", Cent Rijkx,,,
